columna_pca,componente,correlacion_columna_score
horas_trabajos_total,PC59,5.6001500108145e-07
horas_trabajos_total,PC60,4.774680905087841e-07
horas_trabajos_total,PC61,-1.1298876415359061e-08
horas_trabajos_total,PC62,1.3091025742708997e-08
horas_trabajos_total,PC63,-3.5952962668576134e-08
horas_trabajos_total,PC64,2.5138100030639007e-08
horas_trabajos_total,PC65,1.4994683695130143e-08
horas_trabajos_total,PC66,1.4985838482861618e-08
horas_trabajos_total,PC67,5.58068002687634e-17
horas_trabajos_total,PC68,1.1941121865200028e-16
horas_trabajos_total,PC69,-4.2708472038898727e-17
horas_trabajos_total,PC70,2.691244777325326e-17
horas_trabajos_total,PC71,-7.152089571160638e-17
horas_trabajos_total,PC72,-3.309753532516158e-17
horas_trabajos_total,PC73,-1.1949287587215108e-16
horas_trabajos_total,PC74,4.265234369457983e-17
horas_trabajos_total,PC75,8.00765131522509e-17
horas_trabajos_total,PC76,1.1146826651924205e-16
horas_trabajos_total,PC77,-7.58789154552013e-18
tot_integ,PC1,0.7693789707936534
tot_integ,PC2,-0.22343459569084884
tot_integ,PC3,0.4144589133288265
tot_integ,PC4,0.14694747846425624
tot_integ,PC5,0.07089287279646565
tot_integ,PC6,0.023735013966627756
tot_integ,PC7,0.012424891014973717
tot_integ,PC8,-0.013645052488009981
tot_integ,PC9,-0.24032998903578537
tot_integ,PC10,-0.11534283083023558
tot_integ,PC11,0.2747342757539061
tot_integ,PC12,0.0042341047725638304
tot_integ,PC13,0.014982104495326486
tot_integ,PC14,0.017509135237881203
tot_integ,PC15,-0.007681860675411174
tot_integ,PC16,0.022763150482654305
tot_integ,PC17,0.03718940687411382
tot_integ,PC18,-0.05578804130988572
tot_integ,PC19,0.04420720560545069
tot_integ,PC20,0.02579073489050863
tot_integ,PC21,-0.017053551222487227
tot_integ,PC22,-0.03261509821215498
tot_integ,PC23,-0.043636726195477614
tot_integ,PC24,0.009133449575396252
tot_integ,PC25,0.022981091037381572
tot_integ,PC26,0.002712406383830791
tot_integ,PC27,0.0021232273213027484
tot_integ,PC28,0.0011975246054327336
tot_integ,PC29,0.008417796923000877
tot_integ,PC30,-0.0004609432062977199
tot_integ,PC31,0.0040031183599226645
tot_integ,PC32,-0.008672080386422585
tot_integ,PC33,-0.0007464873551673309
tot_integ,PC34,0.00017987575927303113
tot_integ,PC35,-0.0002550878578258291
tot_integ,PC36,0.001092089055635816
tot_integ,PC37,0.0010353616455110242
tot_integ,PC38,0.0014659922210767372
tot_integ,PC39,0.0002657713055398373
tot_integ,PC40,-0.00014287090308293156
tot_integ,PC41,0.00030386671480329725
tot_integ,PC42,-6.152620355675584e-05
tot_integ,PC43,-4.821052066254756e-05
tot_integ,PC44,-3.104617830791059e-05
tot_integ,PC45,0.0002002491257209669
tot_integ,PC46,1.3820928319008686e-05
tot_integ,PC47,-4.227316976865901e-05
tot_integ,PC48,5.1634205429293206e-05
tot_integ,PC49,3.41896231524943e-05
tot_integ,PC50,-8.919491892787641e-06
tot_integ,PC51,1.2448719262993693e-05
tot_integ,PC52,-1.0264315858308091e-05
tot_integ,PC53,-4.151128998466923e-06
tot_integ,PC54,6.619855102027522e-06
tot_integ,PC55,-2.3815451628084816e-06
tot_integ,PC56,3.9171166254712267e-07
tot_integ,PC57,-8.151178756675815e-07
tot_integ,PC58,-2.6993562612711536e-07
tot_integ,PC59,-1.889250643671243e-06
tot_integ,PC60,-1.6278292965149576e-06
tot_integ,PC61,-6.749194008204794e-08
tot_integ,PC62,1.0922877383051008e-08
tot_integ,PC63,2.9234251088347333e-09
tot_integ,PC64,-1.7237595242373798e-08
tot_integ,PC65,-8.882986800109934e-08
tot_integ,PC66,-4.697712948555995e-08
tot_integ,PC67,1.2726094784941444e-17
tot_integ,PC68,-5.268651378241224e-18
tot_integ,PC69,2.339064461666732e-17
tot_integ,PC70,-7.454882187871491e-17
tot_integ,PC71,-1.3920403485760203e-17
tot_integ,PC72,1.0354082126911934e-16
tot_integ,PC73,2.8293533480284307e-16
tot_integ,PC74,1.2194325276661265e-17
tot_integ,PC75,7.732960573642521e-17
tot_integ,PC76,1.8997064889932542e-17
tot_integ,PC77,-8.198158016719903e-18
menores,PC1,0.7797178511755393
menores,PC2,-0.1541244688539386
menores,PC3,0.34316643147805803
menores,PC4,-0.16823723319614026
menores,PC5,0.2546996358703214
menores,PC6,0.12293351385137008
menores,PC7,0.02175925374222882
menores,PC8,0.012760349456750619
menores,PC9,0.26534408630583695
menores,PC10,0.0790420178327023
menores,PC11,-0.22868022221284035
menores,PC12,-0.02775779723683054
menores,PC13,-0.025638601779397835
menores,PC14,-0.024158731412951794
menores,PC15,0.014931825654475248
menores,PC16,-0.023404147487810324
menores,PC17,-0.021652217667247866
menores,PC18,0.03527218988565948
menores,PC19,-0.0461619981828348
menores,PC20,-0.032956774184891145
menores,PC21,0.015452031682642309
menores,PC22,0.041446202704380854
menores,PC23,0.04878927559476191
menores,PC24,-0.012239140251310858
menores,PC25,-0.019430479336182964
menores,PC26,-0.0004552213241746068
menores,PC27,-0.00357265544333978
menores,PC28,-0.0019469253483964007
menores,PC29,-0.004173184937707011
menores,PC30,0.0005923641249042894
menores,PC31,-0.0013233260932063483
menores,PC32,0.005142065533065068
menores,PC33,0.0003734496676351488
menores,PC34,-9.095766457903016e-05
menores,PC35,0.000193635378742032
menores,PC36,-0.0023276484934369028
menores,PC37,-0.001169283692255419
menores,PC38,-0.001300435691878611
menores,PC39,-0.0001976713965999052
menores,PC40,0.00010297611792277644
menores,PC41,-0.000284421039618379
