variable_original,repeticion,rmse_permutado,mae_permutado,delta_rmse,delta_mae,baseline_rmse,baseline_mae
edad,10,42128.174659328535,16135.961828536487,131.1322897311038,158.73823965288648,41997.04236959743,15977.2235888836
educa_jefe_desc,1,43712.40733389928,17228.32468101908,1715.3649643018507,1251.1010921354791,41997.04236959743,15977.2235888836
educa_jefe_desc,2,43710.96809116909,17254.51182163652,1713.925721571657,1277.2882327529187,41997.04236959743,15977.2235888836
educa_jefe_desc,3,43712.61850766297,17243.332748194847,1715.5761380655385,1266.109159311247,41997.04236959743,15977.2235888836
educa_jefe_desc,4,43764.884578121426,17224.840157354804,1767.8422085239945,1247.6165684712032,41997.04236959743,15977.2235888836
educa_jefe_desc,5,43723.006410086105,17174.73426952161,1725.964040488674,1197.51068063801,41997.04236959743,15977.2235888836
educa_jefe_desc,6,43664.43917722401,17169.05278570622,1667.396807626581,1191.8291968226185,41997.04236959743,15977.2235888836
educa_jefe_desc,7,43762.73401789756,17225.741290689482,1765.691648300126,1248.517701805882,41997.04236959743,15977.2235888836
educa_jefe_desc,8,43675.446759651495,17177.623303869565,1678.4043900540637,1200.3997149859642,41997.04236959743,15977.2235888836
educa_jefe_desc,9,43691.38394769475,17185.53679890836,1694.3415780973155,1208.3132100247603,41997.04236959743,15977.2235888836
educa_jefe_desc,10,43634.86546899874,17172.71322809673,1637.8230994013065,1195.4896392131304,41997.04236959743,15977.2235888836
hablaind_desc,1,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
hablaind_desc,2,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
hablaind_desc,3,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
hablaind_desc,4,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
hablaind_desc,5,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
hablaind_desc,6,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
hablaind_desc,7,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
hablaind_desc,8,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
hablaind_desc,9,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
hablaind_desc,10,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
horas_trabajos_total,1,43236.544021991,18109.985657021953,1239.50165239357,2132.7620681383523,41997.04236959743,15977.2235888836
horas_trabajos_total,2,43142.580806572805,18120.471992170387,1145.5384369753738,2143.248403286787,41997.04236959743,15977.2235888836
horas_trabajos_total,3,43363.18774362603,18159.510771085046,1366.1453740286015,2182.287182201446,41997.04236959743,15977.2235888836
horas_trabajos_total,4,43189.92728098163,18125.82334477994,1192.8849113842007,2148.599755896339,41997.04236959743,15977.2235888836
horas_trabajos_total,5,43137.21476586402,18081.181377229215,1140.1723962665856,2103.957788345615,41997.04236959743,15977.2235888836
horas_trabajos_total,6,43166.76247998394,18094.686745429186,1169.7201103865082,2117.4631565455857,41997.04236959743,15977.2235888836
horas_trabajos_total,7,43141.21903120774,18070.875590491483,1144.176661610305,2093.652001607883,41997.04236959743,15977.2235888836
horas_trabajos_total,8,43259.26933721632,18082.109070804723,1262.226967618888,2104.885481921123,41997.04236959743,15977.2235888836
horas_trabajos_total,9,43282.49080705802,18179.588603048276,1285.448437460589,2202.365014164676,41997.04236959743,15977.2235888836
horas_trabajos_total,10,43227.43779365833,18163.61902296143,1230.3954240609019,2186.395434077829,41997.04236959743,15977.2235888836
menores,1,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
menores,2,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
menores,3,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
menores,4,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
menores,5,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
menores,6,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
menores,7,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
menores,8,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
menores,9,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
menores,10,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
n_trabajos,1,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
n_trabajos,2,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
n_trabajos,3,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
n_trabajos,4,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
n_trabajos,5,41997.04236959743,15977.2235888836,0.0,0.0,41997.04236959743,15977.2235888836
