anio,unidad,dominio,universo,estimando,variable,ponderador,unidad_monetaria,nota,n_muestral,poblacion_expandida,M_D,H_D,M_diseno,H_diseno,estratos_singleton_diseno,estimacion,estimacion_directa,diferencia_directa,var_jkn,se_jkn,nu,tcrit_95,ic95_inf,ic95_sup,replicas_usadas,estado
2022,persona,Norte,"Personas validas en mart_persona, incluidas personas menores",proporcion_ingreso_laboral_negocio_positivo,I(ingreso_persona_laboral_negocio_tri > 0),factor,proporcion,Proporcion descriptiva; no se interpreta como empleo ni participacion laboral.,69778,23575051.0,2801,137,10211,560,0,0.48927656614613474,0.48927656614613474,0.0,6.499418747349155e-06,0.0025493957612244427,2664,1.9608548745870857,0.48427757104048613,0.49427556125178335,10211,ok
2022,persona,Norte,Personas con ingreso laboral/negocio positivo en mart_persona,media_ingreso_laboral_negocio_positivo,ingreso_persona_laboral_negocio_tri,factor,pesos nominales trimestrales,Media condicionada al dominio I(ingreso > 0).,33414,11534720.0,2786,137,10211,560,0,35026.445764728574,35026.445764728574,0.0,221918.34254049524,471.0820974527638,2649,1.9608599215318363,34102.7197600823,35950.17176937485,10211,ok
2022,persona,Centro Norte,"Personas validas en mart_persona, incluidas personas menores",proporcion_ingreso_laboral_negocio_positivo,I(ingreso_persona_laboral_negocio_tri > 0),factor,proporcion,Proporcion descriptiva; no se interpreta como empleo ni participacion laboral.,91848,27285994.0,2943,138,10211,560,0,0.4857703919454061,0.4857703919454061,0.0,6.733647219792059e-06,0.00259492720895829,2805,1.9608100728797724,0.4806822325356909,0.4908585513551213,10211,ok
2022,persona,Centro Norte,Personas con ingreso laboral/negocio positivo en mart_persona,media_ingreso_laboral_negocio_positivo,ingreso_persona_laboral_negocio_tri,factor,pesos nominales trimestrales,Media condicionada al dominio I(ingreso > 0).,44360,13254728.0,2936,138,10211,560,0,26962.324762589626,26962.324762589626,0.0,155990.81215314768,394.9567218736094,2798,1.9608121905135434,26187.888807614585,27736.760717564666,10211,ok
2022,persona,Centro,"Personas validas en mart_persona, incluidas personas menores",proporcion_ingreso_laboral_negocio_positivo,I(ingreso_persona_laboral_negocio_tri > 0),factor,proporcion,Proporcion descriptiva; no se interpreta como empleo ni participacion laboral.,78696,48678125.0,2509,137,10211,560,0,0.48558860884637606,0.48558860884637606,0.0,6.8868405961265986e-06,0.002624279062166712,2372,1.9609646007320105,0.48044249050302495,0.49073472718972716,10211,ok
2022,persona,Centro,Personas con ingreso laboral/negocio positivo en mart_persona,media_ingreso_laboral_negocio_positivo,ingreso_persona_laboral_negocio_tri,factor,pesos nominales trimestrales,Media condicionada al dominio I(ingreso > 0).,38077,23637543.0,2500,137,10211,560,0,25410.763320306596,25410.763320306596,0.0,173480.95488506972,416.5104499110073,2363,1.9609684137167371,24593.999484048163,26227.52715656503,10211,ok
2022,persona,Sur,"Personas validas en mart_persona, incluidas personas menores",proporcion_ingreso_laboral_negocio_positivo,I(ingreso_persona_laboral_negocio_tri > 0),factor,proporcion,Proporcion descriptiva; no se interpreta como empleo ni participacion laboral.,69362,29459868.0,1958,148,10211,560,0,0.4766432422575688,0.4766432422575688,0.0,9.188745807100201e-06,0.0030312944111551094,1810,1.961275493602014,0.47069803881507755,0.4825884457000601,10211,ok
2022,persona,Sur,Personas con ingreso laboral/negocio positivo en mart_persona,media_ingreso_laboral_negocio_positivo,ingreso_persona_laboral_negocio_tri,factor,pesos nominales trimestrales,Media condicionada al dominio I(ingreso > 0).,33718,14041847.0,1954,148,10211,560,0,19040.145655738168,19040.145655738168,0.0,72113.63401322096,268.53981830116174,1806,1.9612784002982746,18513.464310484076,19566.82700099226,10211,ok
2024,persona,Nacional,"Personas validas en mart_persona, incluidas personas menores",proporcion_ingreso_laboral_negocio_positivo,I(ingreso_persona_laboral_negocio_tri > 0),factor,proporcion,Proporcion descriptiva; no se interpreta como empleo ni participacion laboral.,308598,130325969.0,10569,681,10569,681,0,0.4901878688506049,0.4901878688506049,0.0,2.268936986342691e-06,0.0015062991025499189,9888,1.960203927572071,0.48723521543368825,0.49314052226752153,10569,ok
2024,persona,Nacional,Personas con ingreso laboral/negocio positivo en mart_persona,media_ingreso_laboral_negocio_positivo,ingreso_persona_laboral_negocio_tri,factor,pesos nominales trimestrales,Media condicionada al dominio I(ingreso > 0).,148965,63884209.0,10549,681,10569,681,0,31976.770294175516,31976.770294175516,0.0,98505.49629372047,313.8558527313462,9868,1.9602044139395907,31361.54866631076,32591.991922040273,10569,ok
2024,persona,Norte,"Personas validas en mart_persona, incluidas personas menores",proporcion_ingreso_laboral_negocio_positivo,I(ingreso_persona_laboral_negocio_tri > 0),factor,proporcion,Proporcion descriptiva; no se interpreta como empleo ni participacion laboral.,70230,23854008.0,2848,148,10569,681,0,0.4888318977674527,0.4888318977674527,0.0,6.278314314791108e-06,0.0025056564638415834,2700,1.9608429908181564,0.48391869885293076,0.4937450966819747,10569,ok
2024,persona,Norte,Personas con ingreso laboral/negocio positivo en mart_persona,media_ingreso_laboral_negocio_positivo,ingreso_persona_laboral_negocio_tri,factor,pesos nominales trimestrales,Media condicionada al dominio I(ingreso > 0).,33260,11660600.0,2842,148,10569,681,0,43273.99810182667,43273.99810182667,0.0,1864511.6428092734,1365.471216397209,2694,1.9608449493803302,40596.52076362999,45951.47544002335,10569,ok
2024,persona,Centro Norte,"Personas validas en mart_persona, incluidas personas menores",proporcion_ingreso_laboral_negocio_positivo,I(ingreso_persona_laboral_negocio_tri > 0),factor,proporcion,Proporcion descriptiva; no se interpreta como empleo ni participacion laboral.,91164,27597413.0,3131,181,10569,681,0,0.49894144063430873,0.49894144063430873,0.0,8.0482816518886e-06,0.0028369493565956723,2950,1.9607684687112688,0.4933788397885652,0.5045040414800522,10569,ok
2024,persona,Centro Norte,Personas con ingreso laboral/negocio positivo en mart_persona,media_ingreso_laboral_negocio_positivo,ingreso_persona_laboral_negocio_tri,factor,pesos nominales trimestrales,Media condicionada al dominio I(ingreso > 0).,44385,13769493.0,3126,181,10569,681,0,32467.05610093923,32467.05610093923,0.0,212315.41542639138,460.7769692881702,2945,1.9607698351095189,31563.5785188458,33370.533683032656,10569,ok
2024,persona,Centro,"Personas validas en mart_persona, incluidas personas menores",proporcion_ingreso_laboral_negocio_positivo,I(ingreso_persona_laboral_negocio_tri > 0),factor,proporcion,Proporcion descriptiva; no se interpreta como empleo ni participacion laboral.,77400,49254755.0,2597,174,10569,681,0,0.49263708651073385,0.49263708651073385,0.0,7.963107221006033e-06,0.0028218978048480127,2423,1.9609435291309145,0.4871035042704484,0.4981706687510193,10569,ok
2024,persona,Centro,Personas con ingreso laboral/negocio positivo en mart_persona,media_ingreso_laboral_negocio_positivo,ingreso_persona_laboral_negocio_tri,factor,pesos nominales trimestrales,Media condicionada al dominio I(ingreso > 0).,37395,24264719.0,2591,174,10569,681,0,31785.38401190263,31785.38401190263,0.0,155593.64730472767,394.4536060232276,2417,1.9609459619656104,31011.88180598861,32558.886217816653,10569,ok
2024,persona,Sur,"Personas validas en mart_persona, incluidas personas menores",proporcion_ingreso_laboral_negocio_positivo,I(ingreso_persona_laboral_negocio_tri > 0),factor,proporcion,Proporcion descriptiva; no se interpreta como empleo ni participacion laboral.,69804,29619793.0,1993,178,10569,681,0,0.47905118715718237,0.47905118715718237,0.0,1.0798420846911618e-05,0.003286095075756576,1815,1.9612718782599576,0.47260626129581246,0.4854961130185523,10569,ok
2024,persona,Sur,Personas con ingreso laboral/negocio positivo en mart_persona,media_ingreso_laboral_negocio_positivo,ingreso_persona_laboral_negocio_tri,factor,pesos nominales trimestrales,Media condicionada al dominio I(ingreso > 0).,33925,14189397.0,1990,178,10569,681,0,22544.40983528335,22544.409835283343,7.275957614183426e-12,61373.90381760681,247.73757046037005,1812,1.9612740450696036,22058.528568350823,23030.291102215877,10569,ok
